date,value
2020-01-23,1
2020-01-24,2
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,2
2020-01-29,0
2020-01-30,3
2020-01-31,3
2020-02-01,3
2020-02-02,2
2020-02-03,0
2020-02-04,6
2020-02-05,4
2020-02-06,0
2020-02-07,2
2020-02-08,3
2020-02-09,7
2020-02-10,5
2020-02-11,2
2020-02-12,3
2020-02-13,8
2020-02-14,9
2020-02-15,5
2020-02-16,3
2020-02-17,2
2020-02-18,4
2020-02-19,3
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,4
2020-02-24,0
2020-02-25,2
2020-02-26,2
2020-02-27,0
2020-02-28,0
2020-02-29,9
2020-03-01,4
2020-03-02,2
2020-03-03,2
2020-03-04,0
2020-03-05,7
2020-03-06,13
2020-03-07,8
2020-03-08,12
2020-03-09,0
2020-03-10,10
2020-03-11,18
2020-03-12,0
2020-03-13,22
2020-03-14,12
2020-03-15,14
2020-03-16,17
2020-03-17,23
2020-03-18,47
2020-03-19,32
2020-03-20,40
2020-03-21,47
2020-03-22,23
2020-03-23,54
2020-03-24,49
2020-03-25,73
2020-03-26,52
2020-03-27,49
2020-03-28,70
2020-03-29,42
2020-03-30,35
2020-03-31,47
2020-04-01,74
2020-04-02,49
2020-04-03,65
2020-04-04,75
2020-04-05,120
2020-04-06,66
2020-04-07,106
2020-04-08,142
2020-04-09,287
2020-04-10,198
2020-04-11,191
2020-04-12,233
2020-04-13,386
2020-04-14,334
2020-04-15,447
2020-04-16,728
2020-04-17,623
2020-04-18,942
2020-04-19,596
2020-04-20,1426
2020-04-21,1111
2020-04-22,1016
2020-04-23,1037
2020-04-24,897
2020-04-25,618
2020-04-26,931
