date,value
2020-01-23,95
2020-01-24,277
2020-01-25,486
2020-01-26,669
2020-01-27,802
2020-01-28,2632
2020-01-29,578
2020-01-30,2054
2020-01-31,1661
2020-02-01,2089
2020-02-02,4739
2020-02-03,3086
2020-02-04,3991
2020-02-05,3733
2020-02-06,3147
2020-02-07,3523
2020-02-08,2704
2020-02-09,3015
2020-02-10,2525
2020-02-11,2032
2020-02-12,373
2020-02-13,15136
2020-02-14,6463
2020-02-15,2055
2020-02-16,2100
2020-02-17,1921
2020-02-18,1777
2020-02-19,408
2020-02-20,458
2020-02-21,473
2020-02-22,1451
2020-02-23,21
2020-02-24,219
2020-02-25,513
2020-02-26,412
2020-02-27,434
2020-02-28,328
2020-02-29,428
2020-03-01,576
2020-03-02,204
2020-03-03,125
2020-03-04,125
2020-03-05,151
2020-03-06,153
2020-03-07,80
2020-03-08,53
2020-03-09,37
2020-03-10,27
2020-03-11,34
2020-03-12,11
2020-03-13,13
2020-03-14,32
2020-03-15,26
2020-03-16,30
2020-03-17,25
2020-03-18,44
2020-03-19,54
2020-03-20,94
2020-03-21,55
2020-03-22,130
2020-03-23,63
2020-03-24,93
2020-03-25,70
2020-03-26,121
2020-03-27,115
2020-03-28,102
2020-03-29,123
2020-03-30,76
2020-03-31,81
2020-04-01,82
2020-04-02,71
2020-04-03,79
2020-04-04,32
2020-04-05,59
2020-04-06,63
2020-04-07,53
2020-04-08,91
2020-04-09,74
2020-04-10,58
2020-04-11,73
2020-04-12,120
2020-04-13,79
2020-04-14,93
2020-04-15,50
2020-04-16,47
2020-04-17,357
2020-04-18,27
2020-04-19,18
2020-04-20,12
2020-04-21,36
2020-04-22,15
2020-04-23,16
2020-04-24,15
2020-04-25,10
2020-04-26,3
